English,Arabic,Categories,Frequency
grammar,,"IT & Technology, Grammar, Vocabulary",309
vocabulary,,"IT & Technology, Vocabulary, Reading Comprehension, Grammar",279
technology,,"IT & Technology, Vocabulary, Reading Comprehension",150
reading,,"IT & Technology, Reading Comprehension",146
comprehension,,Reading Comprehension,136
data,,"IT & Technology, Reading Comprehension, Grammar, Vocabulary",124
past,,"IT & Technology, Grammar",101
software,,"IT & Technology, Grammar, Vocabulary, Reading Comprehension",100
means,,"IT & Technology, Vocabulary, Reading Comprehension, Grammar",96
advanced,,"Vocabulary, Grammar, IT & Technology, Reading Comprehension",74
team,,"IT & Technology, Vocabulary, Reading Comprehension, Grammar",70
system,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",64
present,,"Vocabulary, Grammar",54
tech,,"IT & Technology, Reading Comprehension, Vocabulary",54
verb,,"Grammar, IT & Technology, Vocabulary",53
sentence,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",48
simple,,"IT & Technology, Grammar, Vocabulary",46
computer,,"IT & Technology, Reading Comprehension, Vocabulary",45
english,,"Vocabulary, Grammar, Reading Comprehension",45
security,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",45
business,,"Vocabulary, IT & Technology, Reading Comprehension",43
action,,"IT & Technology, Grammar, Vocabulary",41
subject,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",41
verbs,,"IT & Technology, Grammar, Vocabulary",41
code,,"IT & Technology, Vocabulary, Reading Comprehension, Grammar",39
critical,,"Reading Comprehension, IT & Technology, Grammar, Vocabulary",38
context,,"Vocabulary, Grammar, Reading Comprehension, IT & Technology",36
continuous,,"Grammar, IT & Technology, Vocabulary",36
perfect,,"Grammar, Reading Comprehension, Vocabulary",35
architecture,,"IT & Technology, Vocabulary, Reading Comprehension",34
cloud,,"IT & Technology, Grammar, Vocabulary",34
email,,"Reading Comprehension, IT & Technology, Vocabulary",34
future,,"Grammar, IT & Technology, Vocabulary",34
meeting,,"IT & Technology, Grammar, Vocabulary, Reading Comprehension",34
network,,"IT & Technology, Reading Comprehension, Vocabulary, Grammar",34
working,,"IT & Technology, Reading Comprehension, Grammar, Vocabulary",34
database,,"Grammar, IT & Technology, Reading Comprehension",33
inversion,,"Grammar, Vocabulary",33
user,,"IT & Technology, Vocabulary, Grammar, Reading Comprehension",33
internet,,"IT & Technology, Grammar, Reading Comprehension",32
clause,,"Grammar, Reading Comprehension, IT & Technology",31
off,,"IT & Technology, Vocabulary, Reading Comprehension, Grammar",31
company,,"Vocabulary, IT & Technology, Reading Comprehension, Grammar",30
participle,,Grammar,30
refers,,"IT & Technology, Reading Comprehension, Grammar, Vocabulary",30
server,,"Reading Comprehension, Grammar, IT & Technology, Vocabulary",30
text,,"Reading Comprehension, Grammar, IT & Technology, Vocabulary",30
requires,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",29
something,,"Grammar, Vocabulary, IT & Technology",29
author,,Reading Comprehension,28
main,,"IT & Technology, Reading Comprehension, Grammar",28
project,,"Grammar, IT & Technology, Vocabulary, Reading Comprehension",28
were,,"IT & Technology, Grammar, Reading Comprehension",27
access,,"IT & Technology, Reading Comprehension, Grammar, Vocabulary",26
cybersecurity,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",26
hardware,,"IT & Technology, Reading Comprehension, Grammar",25
password,,"IT & Technology, Reading Comprehension, Grammar",25
specific,,"IT & Technology, Grammar, Vocabulary, Reading Comprehension",25
two,,"IT & Technology, Vocabulary, Grammar, Reading Comprehension",25
distributed,,"IT & Technology, Grammar",24
development,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",23
legacy,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",23
screen,,"IT & Technology, Vocabulary, Grammar, Reading Comprehension",23
clauses,,"Grammar, Vocabulary",22
engineering,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",22
multiple,,"Vocabulary, IT & Technology, Reading Comprehension",22
noun,,"Grammar, Vocabulary",22
please,,"Vocabulary, IT & Technology, Reading Comprehension, Grammar",22
adjectives,,"Vocabulary, Grammar, Reading Comprehension",21
conditional,,Grammar,21
down,,"IT & Technology, Grammar, Vocabulary, Reading Comprehension",21
formal,,"IT & Technology, Grammar, Vocabulary",21
meaning,,"Vocabulary, Grammar, IT & Technology, Reading Comprehension",21
systems,,"IT & Technology, Grammar, Vocabulary",21
update,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",21
academic,,"Vocabulary, Reading Comprehension, Grammar",20
attack,,"IT & Technology, Grammar",20
device,,"IT & Technology, Reading Comprehension, Vocabulary",20
mouse,,IT & Technology,20
open,,"Vocabulary, IT & Technology, Reading Comprehension",20
remote,,"Reading Comprehension, IT & Technology",20
traffic,,"IT & Technology, Vocabulary, Grammar, Reading Comprehension",20
cause,,"Vocabulary, Reading Comprehension, Grammar, IT & Technology",19
databases,,"IT & Technology, Grammar",19
sign,,"Reading Comprehension, Vocabulary, IT & Technology",19
subjunctive,,"Grammar, IT & Technology",19
base,,"Grammar, Vocabulary, IT & Technology",18
collocations,,Vocabulary,18
describe,,"Grammar, Reading Comprehension, Vocabulary",18
information,,"Vocabulary, IT & Technology, Grammar, Reading Comprehension",18
keyboard,,"IT & Technology, Grammar",18
nouns,,"Grammar, Vocabulary",18
order,,"Vocabulary, Reading Comprehension, IT & Technology",18
phone,,"IT & Technology, Grammar, Reading Comprehension",18
word,,"Vocabulary, Reading Comprehension, IT & Technology, Grammar",18
application,,"IT & Technology, Grammar, Vocabulary",17
correct,,"IT & Technology, Grammar, Vocabulary",17
design,,"Reading Comprehension, Grammar, Vocabulary, IT & Technology",17
effect,,"IT & Technology, Vocabulary, Reading Comprehension, Grammar",17
event,,"Grammar, Reading Comprehension, Vocabulary, IT & Technology",17
highly,,"Vocabulary, Reading Comprehension, IT & Technology, Grammar",17
infrastructure,,"IT & Technology, Grammar, Vocabulary",17
negative,,"Reading Comprehension, Grammar",17
passive,,"IT & Technology, Grammar",17
phrase,,"Grammar, Reading Comprehension, IT & Technology",17
technical,,"IT & Technology, Reading Comprehension, Vocabulary, Grammar",17
tone,,Reading Comprehension,17
app,,"Reading Comprehension, IT & Technology, Grammar, Vocabulary",16
battery,,"Reading Comprehension, IT & Technology, Vocabulary",16
completely,,"Reading Comprehension, Vocabulary, Grammar",16
complex,,"Grammar, Vocabulary, IT & Technology, Reading Comprehension",16
designed,,"Reading Comprehension, IT & Technology, Vocabulary, Grammar",16
ephemeral,,"Vocabulary, Grammar",16
immediately,,"Vocabulary, Reading Comprehension, Grammar, IT & Technology",16
management,,"IT & Technology, Vocabulary, Reading Comprehension, Grammar",16
person,,"Grammar, Vocabulary, IT & Technology, Reading Comprehension",16
protocol,,"IT & Technology, Vocabulary, Grammar",16
relative,,Grammar,16
servers,,"IT & Technology, Grammar, Vocabulary",16
states,,"Reading Comprehension, Grammar",16
bugs,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",15
bus,,"Reading Comprehension, IT & Technology, Vocabulary",15
conditionals,,Grammar,15
devops,,IT & Technology,15
emails,,"Reading Comprehension, IT & Technology, Grammar",15
entirely,,"Reading Comprehension, Vocabulary, IT & Technology, Grammar",15
fixed,,"IT & Technology, Grammar, Vocabulary",15
happened,,"IT & Technology, Grammar, Reading Comprehension",15
manager,,"Vocabulary, Grammar, Reading Comprehension, IT & Technology",15
microservices,,"IT & Technology, Vocabulary, Reading Comprehension",15
model,,"Reading Comprehension, IT & Technology, Vocabulary",15
modern,,"Reading Comprehension, Vocabulary, IT & Technology",15
phrasal,,"IT & Technology, Vocabulary",15
singular,,"Grammar, Vocabulary",15
structure,,"Grammar, IT & Technology, Reading Comprehension",15
tense,,Grammar,15
term,,"IT & Technology, Reading Comprehension, Vocabulary, Grammar",15
times,,"Vocabulary, Grammar, IT & Technology, Reading Comprehension",15
algorithm,,"IT & Technology, Reading Comprehension, Grammar, Vocabulary",14
another,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",14
buy,,"Grammar, Vocabulary, Reading Comprehension, IT & Technology",14
